workload,sigma_pct,seed,scheduler,n_ops,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error
sensor_fusion_diamond,0.0,1,cpsat,16,True,True,475.0,0,0.0,2,465.0,0.060378493973985314,
sensor_fusion_diamond,0.0,1,gnn_placement,16,True,True,480.0,0,0.0,3,470.0,0.0022623779950663447,
sensor_fusion_diamond,0.0,1,simulated_annealing,16,True,True,480.0,0,0.0,3,470.0,0.031132434029132128,
sensor_fusion_diamond,0.0,1,peft,16,True,True,480.0,0,0.0,3,470.0,0.00044159707613289356,
sensor_fusion_diamond,0.0,2,heft,16,True,True,480.0,0,0.0,3,470.0,0.00033464503940194845,
sensor_fusion_diamond,0.0,2,edf,16,True,True,510.0,0,0.0,1,510.0,0.0003982450580224395,
sensor_fusion_diamond,0.0,2,fastest_device,16,True,True,510.0,0,0.0,3,445.0,0.00022386503405869007,
sensor_fusion_diamond,0.0,2,cpsat,16,True,True,475.0,0,0.0,2,465.0,0.050398488994687796,
sensor_fusion_diamond,0.0,2,gnn_placement,16,True,True,480.0,0,0.0,3,470.0,0.002211621031165123,
sensor_fusion_diamond,0.0,2,simulated_annealing,16,True,True,480.0,0,0.0,3,470.0,0.022437194013036788,
sensor_fusion_diamond,0.0,2,peft,16,True,True,480.0,0,0.0,3,470.0,0.00043389201164245605,
sensor_fusion_diamond,0.0,3,heft,16,True,True,480.0,0,0.0,3,470.0,0.00034876097925007343,
sensor_fusion_diamond,0.0,3,edf,16,True,True,510.0,0,0.0,1,510.0,0.0003447729395702481,
sensor_fusion_diamond,0.0,3,fastest_device,16,True,True,510.0,0,0.0,3,445.0,0.00030970689840614796,
sensor_fusion_diamond,0.0,3,cpsat,16,True,True,475.0,0,0.0,2,465.0,0.05085545498877764,
sensor_fusion_diamond,0.0,3,gnn_placement,16,True,True,480.0,0,0.0,3,470.0,0.0026106979930773377,
sensor_fusion_diamond,0.0,3,simulated_annealing,16,True,True,480.0,0,0.0,3,470.0,0.022633146960288286,
sensor_fusion_diamond,0.0,3,peft,16,True,True,480.0,0,0.0,3,470.0,0.0005174310645088553,
sensor_fusion_diamond,0.0,4,heft,16,True,True,480.0,0,0.0,3,470.0,0.0003429299686104059,
sensor_fusion_diamond,0.0,4,edf,16,True,True,510.0,0,0.0,1,510.0,0.0003891380038112402,
sensor_fusion_diamond,0.0,4,fastest_device,16,True,True,510.0,0,0.0,3,445.0,0.0002741690259426832,
sensor_fusion_diamond,0.0,4,cpsat,16,True,True,475.0,0,0.0,2,465.0,0.09550906589720398,
