policy,candidate_id,seed,contention_level,freshness_window,delta,A0,deadline_and_stale_count,deadline_miss_count,deadline_success_rate,divergence,dronet_deadline_success_rate,dronet_deadline_success_rate_vs_ref,dronet_max_lateness_ms,dronet_max_lateness_ms_vs_ref,dronet_n_invocations,dronet_reference_window_ms,epoch_comparable,epoch_ms,fits_in_epoch,freshness_success_rate,makespan_ms,max_input_age,max_input_age_at_start,n_with_age,no_producer_count,output_valid_rate,p50_input_age,p50_input_age_at_start,p95_input_age,p95_input_age_at_start,p99_input_age,soft_instances_admitted,soft_instances_completed,soft_instances_offered,soft_instances_released,solver_wall_s,stale_input_count,total_consumer_invocations,valid_count
probe_defer30,probe_defer30,0,2,65.546074,5.0,60.546074,0,0,1.0,0.5333333333333333,0.6666666666666666,0.6666666666666666,17.174683000000016,17.174683000000016,6,50.0,True,300.0,True,0.4666666666666667,290.5460739999999,110.54607400000002,110.0,28,2,0.4666666666666667,65.54607399999996,65.0,107.04607399999993,106.49999999999999,110.54607399999999,2,2,2,2,18.067771196365356,14,30,14
probe_defer30,probe_defer30,0,2,70.546074,10.0,60.546074,0,0,1.0,0.4666666666666667,0.6666666666666666,0.6666666666666666,17.174683000000016,17.174683000000016,6,50.0,True,300.0,True,0.5333333333333333,290.5460739999999,110.54607400000002,110.0,28,2,0.5333333333333333,65.54607399999996,65.0,107.04607399999993,106.49999999999999,110.54607399999999,2,2,2,2,18.067771196365356,12,30,16
probe_defer30,probe_defer30,0,2,80.546074,20.0,60.546074,0,0,1.0,0.2666666666666667,0.6666666666666666,0.6666666666666666,17.174683000000016,17.174683000000016,6,50.0,True,300.0,True,0.7333333333333333,290.5460739999999,110.54607400000002,110.0,28,2,0.7333333333333333,65.54607399999996,65.0,107.04607399999993,106.49999999999999,110.54607399999999,2,2,2,2,18.067771196365356,6,30,22
probe_defer30,probe_defer30,0,2,90.546074,30.0,60.546074,0,0,1.0,0.19999999999999996,0.6666666666666666,0.6666666666666666,17.174683000000016,17.174683000000016,6,50.0,True,300.0,True,0.8,290.5460739999999,110.54607400000002,110.0,28,2,0.8,65.54607399999996,65.0,107.04607399999993,106.49999999999999,110.54607399999999,2,2,2,2,18.067771196365356,4,30,24
probe_defer30,probe_defer30,0,2,110.546074,50.0,60.546074,0,0,1.0,0.06666666666666665,0.6666666666666666,0.6666666666666666,17.174683000000016,17.174683000000016,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,110.54607400000002,110.0,28,2,0.9333333333333333,65.54607399999996,65.0,107.04607399999993,106.49999999999999,110.54607399999999,2,2,2,2,18.067771196365356,0,30,28
probe_defer30,probe_defer30,0,3,65.546074,5.0,60.546074,0,0,1.0,0.6666666666666667,0.5555555555555556,0.5555555555555556,17.174683000000016,17.174683000000016,9,50.0,False,300.0,False,0.3333333333333333,495.43749099999974,110.54607400000002,110.0,40,2,0.3333333333333333,70.75511299999994,70.0,110.54607399999992,110.0,110.54607400000002,3,3,3,5,158.8945348262787,26,42,14
probe_defer30,probe_defer30,0,3,70.546074,10.0,60.546074,0,0,1.0,0.5952380952380952,0.5555555555555556,0.5555555555555556,17.174683000000016,17.174683000000016,9,50.0,False,300.0,False,0.40476190476190477,495.43749099999974,110.54607400000002,110.0,40,2,0.40476190476190477,70.75511299999994,70.0,110.54607399999992,110.0,110.54607400000002,3,3,3,5,158.8945348262787,23,42,17
probe_defer30,probe_defer30,0,3,80.546074,20.0,60.546074,0,0,1.0,0.33333333333333337,0.5555555555555556,0.5555555555555556,17.174683000000016,17.174683000000016,9,50.0,False,300.0,False,0.6666666666666666,495.43749099999974,110.54607400000002,110.0,40,2,0.6666666666666666,70.75511299999994,70.0,110.54607399999992,110.0,110.54607400000002,3,3,3,5,158.8945348262787,12,42,28
probe_defer30,probe_defer30,0,3,90.546074,30.0,60.546074,0,0,1.0,0.30952380952380953,0.5555555555555556,0.5555555555555556,17.174683000000016,17.174683000000016,9,50.0,False,300.0,False,0.6904761904761905,495.43749099999974,110.54607400000002,110.0,40,2,0.6904761904761905,70.75511299999994,70.0,110.54607399999992,110.0,110.54607400000002,3,3,3,5,158.8945348262787,11,42,29
probe_defer30,probe_defer30,0,3,110.546074,50.0,60.546074,0,0,1.0,0.04761904761904767,0.5555555555555556,0.5555555555555556,17.174683000000016,17.174683000000016,9,50.0,False,300.0,False,0.9523809523809523,495.43749099999974,110.54607400000002,110.0,40,2,0.9523809523809523,70.75511299999994,70.0,110.54607399999992,110.0,110.54607400000002,3,3,3,5,158.8945348262787,0,42,40
oracle,oracle<-probe_defer30,0,0,65.546074,5.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,6.8398518562316895,0,30,28
oracle,oracle<-probe_defer30,0,0,70.546074,10.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,6.8398518562316895,0,30,28
oracle,oracle<-probe_defer30,0,0,80.546074,20.0,60.546074,0,0,1.0,0.06666666666666665,1.0,1.0,-32.825316999999984,-32.825316999999984,6,50.0,True,300.0,True,0.9333333333333333,290.5460739999999,60.54607400000002,60.0,28,2,0.9333333333333333,40.546074000000004,40.0,60.546074000000004,60.0,60.54607400000001,0,0,0,0,6.8398518562316895,0,30,28
