n_ops,actual_n,seed,scheduler,feasible,valid,makespan_us,deadline_miss_count,total_lateness_us,cross_device_transitions,critical_path_us,solver_wall_time_s,error
100,100,1,critical_path,True,True,10135784.931129413,0,0.0,0,10135784.931129413,0.0028962389333173633,
100,100,1,edf,True,True,10135784.931129413,0,0.0,0,10135784.931129413,0.00294655398465693,
100,100,1,fastest_device,True,True,8301481.790318408,0,0.0,17,8301396.790318408,0.002542859991081059,
100,100,1,fifo,True,True,10135784.931129413,0,0.0,0,10135784.931129413,0.004245145944878459,
100,100,1,peft,True,True,8301481.790318408,0,0.0,17,8301396.790318408,0.004785259952768683,
100,100,1,simulated_annealing,True,True,8301481.790318408,0,0.0,17,8301396.790318408,0.21727737900801003,
100,100,1,cpsat,True,False,8301485.067368464,0,0.0,17,8301396.790318408,30.0508110410301,
100,100,1,gnn_placement,True,True,8301481.790318408,0,0.0,17,8301396.790318408,0.012556819012388587,
100,100,2,heft,True,True,8283567.309194058,0,0.0,17,8283482.309194058,0.004966182052157819,
100,100,2,critical_path,True,True,9726143.901261576,0,0.0,0,9726143.901261576,0.0030712810112163424,
100,100,2,edf,True,True,9726143.901261576,0,0.0,0,9726143.901261576,0.0030565529596060514,
100,100,2,fastest_device,True,True,8283567.309194058,0,0.0,17,8283482.309194058,0.0026109289610758424,
100,100,2,fifo,True,True,9726143.901261576,0,0.0,0,9726143.901261576,0.002605157089419663,
100,100,2,peft,True,True,8283567.309194058,0,0.0,17,8283482.309194058,0.005171120981685817,
100,100,2,simulated_annealing,True,True,8283567.309194058,0,0.0,17,8283482.309194058,0.2631643380736932,
100,100,2,cpsat,True,False,8283560.394147796,0,0.0,17,8283482.309194058,30.037454393925145,
100,100,2,gnn_placement,True,True,8283567.309194058,0,0.0,17,8283482.309194058,0.009764036047272384,
200,200,0,heft,True,True,16603596.570672108,0,0.0,39,16603401.570672108,0.009202421992085874,
200,200,0,critical_path,True,True,20443656.430056542,0,0.0,0,20443656.430056542,0.009262355044484138,
200,200,0,edf,True,True,20443656.430056542,0,0.0,0,20443656.430056542,0.009293854935094714,
200,200,0,fastest_device,True,True,16603596.570672108,0,0.0,39,16603401.570672108,0.008690480957739055,
200,200,0,fifo,True,True,20443656.430056542,0,0.0,0,20443656.430056542,0.008349013980478048,
200,200,0,peft,True,True,16603596.570672108,0,0.0,39,16603401.570672108,0.010442111059091985,
200,200,0,simulated_annealing,True,True,16603596.570672108,0,0.0,39,16603401.570672108,0.6505660739494488,
200,200,0,cpsat,True,False,16603590.961992253,0,0.0,39,16603401.570672108,60.18113192298915,
200,200,0,gnn_placement,True,True,16603596.570672108,0,0.0,39,16603401.570672108,0.10122466098982841,
200,200,1,heft,True,True,16141328.343481574,0,0.0,35,16141153.343481574,0.009246445028111339,
200,200,1,critical_path,True,True,19781010.853378117,0,0.0,0,19781010.853378117,0.009119824040681124,
200,200,1,edf,True,True,19781010.853378117,0,0.0,0,19781010.853378117,0.009129973943345249,
200,200,1,fastest_device,True,True,16141328.343481574,0,0.0,35,16141153.343481574,0.008408166002482176,
200,200,1,fifo,True,True,19781010.853378117,0,0.0,0,19781010.853378117,0.008308896911330521,
200,200,1,peft,True,True,16141328.343481574,0,0.0,35,16141153.343481574,0.010179413016885519,
200,200,1,simulated_annealing,True,True,16141328.343481574,0,0.0,35,16141153.343481574,0.636318929027766,
200,200,1,cpsat,True,False,16141329.321689254,0,0.0,35,16141153.343481574,60.092530210036784,
200,200,1,gnn_placement,True,True,16141328.343481574,0,0.0,35,16141153.343481574,0.02992234192788601,
200,200,2,heft,True,True,16746429.9938358,0,0.0,39,16746234.9938358,0.009218301973305643,
200,200,2,critical_path,True,True,19623121.655025262,0,0.0,0,19623121.655025262,0.009036517003551126,
200,200,2,edf,True,True,19623121.655025262,0,0.0,0,19623121.655025262,0.009034101967699826,
200,200,2,fastest_device,True,True,16746429.9938358,0,0.0,39,16746234.9938358,0.008371075964532793,
200,200,2,fifo,True,True,19623121.655025262,0,0.0,0,19623121.655025262,0.008238132926635444,
200,200,2,peft,True,True,16746429.9938358,0,0.0,39,16746234.9938358,0.010005883988924325,
200,200,2,simulated_annealing,True,True,16746429.9938358,0,0.0,39,16746234.9938358,0.6324781869770959,
200,200,2,cpsat,True,False,16746424.469991816,0,0.0,39,16746234.9938358,60.07229824305978,
200,200,2,gnn_placement,True,True,16746429.9938358,0,0.0,39,16746234.9938358,0.016225632978603244,
500,500,0,heft,True,True,41348793.24225612,0,0.0,103,41348228.24225612,0.049342979094944894,
500,500,0,critical_path,True,True,50685795.98684125,0,0.0,0,50685795.98684125,0.057169112958945334,
500,500,0,edf,True,True,50685795.98684125,0,0.0,0,50685795.98684125,0.05171334301121533,
500,500,0,fastest_device,True,True,41348793.24225612,0,0.0,103,41348228.24225612,0.0464643940795213,
500,500,0,fifo,True,True,50685795.98684125,0,0.0,0,50685795.98684125,0.0470355759607628,
500,500,0,peft,True,True,41348793.24225612,0,0.0,103,41348228.24225612,0.051531607983633876,
500,500,0,simulated_annealing,True,True,41348793.24225612,0,0.0,103,41348228.24225612,3.3908634709659964,
500,500,0,cpsat,True,False,41348786.6832664,0,0.0,103,41348228.24225612,150.18914253497496,
500,500,0,gnn_placement,True,True,41348793.24225612,0,0.0,103,41348228.24225612,0.07318526797462255,
500,500,1,heft,True,True,40035409.77977084,0,0.0,95,40034934.77977084,0.052682117908261716,
500,500,1,critical_path,True,True,49425678.88369475,0,0.0,0,49425678.88369475,0.04978440597187728,
500,500,1,edf,True,True,49425678.88369475,0,0.0,0,49425678.88369475,0.05230082501657307,
500,500,1,fastest_device,True,True,40035409.77977084,0,0.0,95,40034934.77977084,0.04766830604057759,
500,500,1,fifo,True,True,49425678.88369475,0,0.0,0,49425678.88369475,0.04813857702538371,
500,500,1,peft,True,True,40035409.77977084,0,0.0,95,40034934.77977084,0.05216017900966108,
500,500,1,simulated_annealing,True,True,40035409.77977084,0,0.0,95,40034934.77977084,3.4706333479844034,
500,500,1,cpsat,True,False,40035416.57884387,0,0.0,95,40034934.77977084,150.17793551902287,
500,500,1,gnn_placement,True,True,40035409.77977084,0,0.0,95,40034934.77977084,0.07259284402243793,
500,500,2,heft,True,True,40960318.38963785,0,0.0,87,40959883.38963785,0.058097161003388464,
500,500,2,critical_path,True,True,48966902.494223304,0,0.0,0,48966902.494223304,0.049754638923332095,
500,500,2,edf,True,True,48966902.494223304,0,0.0,0,48966902.494223304,0.049491571029648185,
500,500,2,fastest_device,True,True,40960318.38963785,0,0.0,87,40959883.38963785,0.06144171999767423,
500,500,2,fifo,True,True,48966902.494223304,0,0.0,0,48966902.494223304,0.047025826992467046,
500,500,2,peft,True,True,40960318.38963785,0,0.0,87,40959883.38963785,0.0524797240504995,
500,500,2,simulated_annealing,True,True,40960318.38963785,0,0.0,87,40959883.38963785,3.6018904839875177,
500,500,2,cpsat,True,False,40960311.793204315,0,0.0,87,40959883.38963785,150.18918268207926,
500,500,2,gnn_placement,True,True,40960318.38963785,0,0.0,87,40959883.38963785,0.12652762595098466,
