seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
56,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_14,CPU,1,1646.950310,111.635330,0,1655.979063,1655.979271,1655.983646,1757.138381
57,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_14,CPU,1,1758.585640,36.838110,0,1757.154058,1758.585971,1758.590711,1795.396462
58,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_15_tramp_p0,CPU,1,1795.423750,3.121830,0,1795.408858,1795.423962,1795.427555,1799.554079
59,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv1,HTA,1,1798.545580,3.121520,1,1800.235167,1800.235271,1800.240167,1804.042631
60,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_15_tramp_p1,CPU,1,1801.667100,16.922860,0,1804.298462,1804.298723,1804.303150,1817.480683
61,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv2,HTA,1,1818.589960,9.320990,1,1817.513443,1818.597235,1818.602183,1827.415955
62,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_15_tramp_p2,CPU,1,1827.910950,48.486050,0,1827.664755,1827.911107,1827.915430,1875.472278
63,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_15,CPU,1,1876.397000,9.165560,0,1875.486445,1876.397270,1876.401645,1885.527237
64,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_16,CPU,1,1885.562560,116.359910,0,1885.538226,1885.562705,1885.567497,1987.812967
65,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_16,CPU,1,2001.922470,36.225830,0,1987.828436,2001.922788,2001.927007,2036.897317
66,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_17_tramp_p0,CPU,1,2038.148300,3.129200,0,2036.909244,2038.148712,2038.153035,2042.323883
67,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv1,HTA,1,2041.277500,3.217110,1,2042.709557,2042.709661,2042.715546,2047.121965
68,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_17_tramp_p1,CPU,1,2044.494610,17.178930,0,2047.354463,2047.354567,2047.358682,2060.628823
69,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv2,HTA,1,2061.673540,9.277210,1,2060.661270,2061.673657,2061.678761,2071.420757
70,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_17_tramp_p2,CPU,1,2070.950750,48.386720,0,2071.676431,2071.676536,2071.681327,2118.636998
71,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_17,CPU,1,2119.337470,9.169410,0,2118.651894,2119.337617,2119.342357,2128.429254
72,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_18,CPU,1,2128.506880,111.114950,0,2128.439827,2128.507014,2128.510399,2229.082411
73,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_18,CPU,1,2239.621830,36.328440,0,2229.098140,2239.622316,2239.627316,2275.873760
74,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_19_tramp_p0,CPU,1,2275.950270,3.130110,0,2275.888812,2275.950426,2275.955947,2279.914922
75,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv1,HTA,1,2279.080380,3.200220,1,2280.237002,2280.237159,2280.241950,2283.963115
76,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_19_tramp_p1,CPU,1,2282.280600,16.794000,0,2283.982073,2283.982177,2283.985094,2297.027581
77,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv2,HTA,1,2299.074600,9.383160,1,2297.058153,2299.075218,2299.080427,2311.447815
78,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_19_tramp_p2,CPU,1,2308.457760,48.297440,0,2311.716980,2311.717188,2311.721927,2358.989054
79,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_19,CPU,1,2356.755200,9.172720,0,2359.004262,2359.004367,2359.008741,2368.112566
80,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_20,CPU,1,2365.927920,115.919340,0,2368.122930,2368.123034,2368.127930,2467.064071
81,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_20,CPU,1,2481.847260,36.510080,0,2467.076571,2481.847584,2481.852480,2517.615231
82,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_21_tramp_p0,CPU,1,2518.357340,3.134350,0,2517.627679,2518.357412,2518.361057,2522.442479
83,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_21_conv1,HTA,1,2521.491690,3.195520,1,2522.813465,2522.813569,2522.819455,2527.401393
