seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
59,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv1,HTA,1,1515.278150,3.121520,2,1664.429822,1664.429978,1664.437269,1667.663726
60,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p1,DSP,1,1518.399670,6.620520,1,1667.910541,1667.910697,1683.498624,1689.121773
61,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv2,HTA,1,1525.020190,9.320990,2,1689.155574,1689.155782,1689.160574,1699.127018
62,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p2,DSP,1,1534.341180,21.234080,1,1699.159986,1699.160194,1771.807241,1793.233935
63,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_15,CPU,1,1555.575260,9.165560,0,1793.585850,1793.585954,1793.591215,1802.742946
64,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p0,DSP,1,1564.740820,18.879270,1,1803.104080,1803.104184,1907.373789,1926.011459
65,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_16_conv1,HTA,1,1583.620090,15.815560,2,1926.051823,1926.051927,1926.057551,1946.411624
66,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p1,DSP,1,1599.435650,6.767770,1,1946.606305,1946.606462,1964.570665,1970.354485
67,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_16_conv2,HTA,1,1606.203420,6.191510,2,1970.591040,1970.591196,1970.603488,1977.840751
68,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p2,DSP,1,1612.394930,49.723170,1,1978.087722,1978.087826,2111.386635,2159.910827
69,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_16,CPU,1,1662.118100,36.225830,0,2160.254565,2160.254670,2160.261284,2196.147244
70,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p0,DSP,1,1698.343930,2.609690,1,2196.443484,2196.443588,2206.786478,2208.383978
71,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv1,HTA,1,1700.953620,3.217110,2,2208.427154,2208.427258,2208.434601,2211.207844
72,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p1,DSP,1,1704.170730,6.390630,1,2211.230812,2211.230916,2226.917225,2233.339358
73,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_17_conv2,HTA,1,1710.561360,9.277210,2,2233.581069,2233.581225,2233.591121,2242.860973
74,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_17_tramp_p2,DSP,1,1719.838570,21.064870,1,2243.085081,2243.085237,2326.660728,2347.702538
75,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_17,CPU,1,1740.903440,9.169410,0,2347.757588,2347.757849,2347.761286,2358.312243
76,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_18,CPU,1,1750.072850,111.114950,0,2358.325523,2358.325628,2358.330159,2470.956943
77,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_18,CPU,1,1861.187800,36.328440,0,2470.975901,2470.976005,2470.979391,2506.950576
78,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p0,DSP,1,1897.516240,1.688880,1,2507.300357,2507.300461,2516.150019,2517.712990
79,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv1,HTA,1,1899.205120,3.200220,2,2517.749968,2517.750124,2528.093437,2531.640771
80,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p1,DSP,1,1902.405340,6.691970,1,2531.690352,2531.690509,2548.746262,2554.393736
81,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_19_conv2,HTA,1,1909.097310,9.383160,2,2554.610969,2554.611125,2578.079067,2587.110964
82,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_19_tramp_p2,DSP,1,1918.480470,21.578160,1,2587.151223,2587.151431,2668.582299,2689.855260
83,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_19,CPU,1,1940.058630,9.172720,0,2690.193114,2690.193218,2690.199520,2699.368756
84,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_20_tramp_p0,DSP,1,1949.231350,18.523800,1,2699.643643,2699.643747,2802.036492,2818.709184
85,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_20_conv1,HTA,1,1967.755150,15.897770,2,2818.986467,2818.986571,2868.761427,2885.804420
86,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_20_tramp_p1,DSP,1,1983.652920,6.450190,1,2886.052537,2886.052693,2903.938471,2909.632923
87,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_20_conv2,HTA,1,1990.103110,6.185450,2,2909.873436,2909.873593,2935.640628,2941.962924
88,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_20_tramp_p2,DSP,1,1996.288560,49.856450,1,2941.998913,2941.999017,3075.754189,3123.560306
89,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_20,CPU,1,2046.145010,36.510080,0,3123.899462,3123.899566,3123.906649,3160.283239
90,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_21_tramp_p0,DSP,1,2082.655090,1.664770,1,3160.681455,3160.681559,3169.762465,3171.324133
91,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_21_conv1,HTA,1,2084.319860,3.195520,2,3171.540428,3171.540532,3180.928095,3184.564696
92,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_21_tramp_p1,DSP,1,2087.515380,6.357460,1,3184.600372,3184.600581,3201.464100,3207.661140
93,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_21_conv2,HTA,1,2093.872840,9.321380,2,3207.891133,3207.891237,3231.147103,3239.540062
94,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_21_tramp_p2,DSP,1,2103.194220,21.230790,1,3239.577248,3239.577404,3327.658370,3348.239531
95,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_21,CPU,1,2124.425010,9.164550,0,3348.573478,3348.573582,3348.579259,3357.725059
96,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_22,CPU,1,2133.589560,112.958160,0,3357.743391,3357.743495,3357.746985,3477.372517
97,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_22,CPU,1,2246.547720,35.888020,0,3477.390485,3477.390590,3477.394860,3513.324661
98,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_23_tramp_p0,DSP,1,2282.435740,1.674510,1,3513.623297,3513.623506,3523.484965,3525.121267
99,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_23_conv1,HTA,1,2284.110250,3.289740,2,3525.166838,3525.166943,3535.087931,3538.532353
100,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_23_tramp_p1,DSP,1,2287.399990,6.994330,1,3538.766148,3538.766408,3555.919043,3562.550760
101,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_23_conv2,HTA,1,2294.394320,9.268290,2,3562.582998,3562.583259,3587.322789,3595.809499
102,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_23_tramp_p2,DSP,1,2303.662610,21.760380,1,3595.849654,3595.849863,3682.462904,3702.433366
103,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_23,CPU,1,2325.422990,9.163090,0,3702.761584,3702.761741,3702.767105,3711.916191
104,0,smolvlm_vision_v3_bundles,0,CPU_X,dsp_seg_24,CPU,1,2334.586080,77.804310,0,3711.934367,3711.934471,3711.938169,3790.962284
