seg_id,ctx_seg_id,network,instance,kind,backend_label,actual_backend,n_ops,predicted_start_ms,predicted_duration_ms,kind_idx,dep_wait_done_ms,gate_done_ms,actual_start_ms,actual_end_ms
60,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_10_tramp_p2,DSP,1,943.325580,50.171580,1,6870.356995,6870.357255,6870.365631,6914.943915
61,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_10,CPU,1,993.497160,36.167320,0,6914.983404,6914.983613,6914.986682,6953.217429
62,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p0,DSP,1,1029.664480,1.672150,1,7016.161068,7016.161224,7016.170537,7018.568377
63,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv1,HTA,1,1031.336630,3.161230,2,7018.749853,7018.750061,7018.758594,7021.682235
64,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p1,DSP,1,1034.497860,7.158160,1,7043.557489,7043.557593,7043.564721,7049.152641
65,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_11_conv2,HTA,1,1041.656020,9.254600,2,7049.344263,7049.344367,7049.351651,7057.757906
66,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_11_tramp_p2,DSP,1,1050.910620,21.585370,1,7183.727597,7183.727701,7183.737535,7202.787846
67,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_11,CPU,1,1072.495990,9.161890,0,7203.010008,7203.010112,7203.014378,7213.587311
68,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_12_tramp_p0,DSP,1,1081.657880,18.649510,1,7217.649702,7217.649910,7217.654176,7233.500829
69,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_12_conv1,HTA,1,1100.307390,16.027060,2,7234.398634,7234.398842,7234.405658,7252.610869
70,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_12_tramp_p1,DSP,1,1116.334450,6.791360,1,7265.514682,7265.514942,7265.524932,7270.985225
71,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_12_conv2,HTA,1,1123.125810,6.251630,2,7297.840186,7297.840602,7297.848198,7304.132833
72,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_12_tramp_p2,DSP,1,1129.377440,50.134390,1,7381.047026,7381.047286,7381.057588,7425.723488
73,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_12,CPU,1,1179.511830,36.085750,0,7425.779522,7425.779783,7425.783841,7481.977554
74,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p0,DSP,1,1215.597580,1.664470,1,7509.877820,7509.877976,7509.888850,7512.322174
75,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv1,HTA,1,1217.262050,3.145230,2,7512.358490,7512.358594,7512.366086,7515.327136
76,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p1,DSP,1,1220.407280,6.847920,1,7578.739552,7578.739917,7578.748970,7584.055363
77,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_13_conv2,HTA,1,1227.255200,9.312020,2,7603.710350,7603.710611,7603.717843,7616.075512
78,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_13_tramp_p2,DSP,1,1236.567220,21.142910,1,7739.241903,7739.242164,7739.250852,7757.874634
79,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_13,CPU,1,1257.710130,9.160780,0,7758.213444,7758.213548,7758.219531,7767.491334
80,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_14_tramp_p0,DSP,1,1266.870910,18.956000,1,7774.507750,7774.507958,7774.511860,7790.583952
81,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_14_conv1,HTA,1,1285.826910,15.941870,2,7790.611892,7790.612464,7790.619696,7809.340615
82,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_14_tramp_p1,DSP,1,1301.768780,6.859970,1,7819.978740,7819.978844,7819.987897,7825.375038
83,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_14_conv2,HTA,1,1308.628750,6.230380,2,7848.618417,7848.618729,7848.629968,7854.928238
84,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_14_tramp_p2,DSP,1,1314.859130,50.178530,1,7933.958217,7933.958478,7933.968780,7978.741095
85,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_14,CPU,1,1365.037660,36.838110,0,7978.815969,7978.816073,7978.823201,8030.486739
86,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p0,DSP,1,1401.875770,2.739090,1,8058.463199,8058.463355,8058.475010,8060.957230
87,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv1,HTA,1,1404.614860,3.121520,2,8061.210155,8061.210415,8061.219521,8064.377788
88,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p1,DSP,1,1407.736380,6.620520,1,8134.846590,8134.846746,8134.851949,8140.370317
89,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_15_conv2,HTA,1,1414.356900,9.320990,2,8160.208565,8160.208773,8160.215798,8168.683838
90,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_15_tramp_p2,DSP,1,1423.677890,21.234080,1,8292.785106,8292.785262,8292.795252,8311.800370
91,0,smolvlm_vision_v3_bundles,0,CPU_X,cpu_seg_15,CPU,1,1444.911970,9.165560,0,8311.850060,8311.850268,8311.853390,8322.567895
92,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p0,DSP,1,1454.077530,18.879270,1,8326.120717,8326.120873,8326.127117,8342.929581
93,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_16_conv1,HTA,1,1472.956800,15.815560,2,8342.962205,8342.962465,8342.969957,8363.727291
94,0,smolvlm_vision_v3_bundles,0,CPU_E,dsp_seg_16_tramp_p1,DSP,1,1488.772360,6.767770,1,8368.422572,8368.422728,8368.431105,8373.813827
95,0,smolvlm_vision_v3_bundles,0,CPU_P,dsp_seg_16_conv2,HTA,1,1495.540130,6.191510,2,8396.312763,8396.313127,8396.325303,8403.640687
