policy,contention_level,seed,task,instance,criticality,release_time,start_time,end_time,deadline
probe_defer40,3,0,mlp_control,7,hard,70.0,70.0,70.54607400000002,80.0
probe_defer40,3,0,mlp_control,8,hard,80.0,80.0,80.62957200000002,90.0
probe_defer40,3,0,mlp_control,9,hard,90.0,90.0,90.54607400000002,100.0
probe_defer40,3,0,yolov8_nano_64,0,soft,40.0,40.546074,103.58571800000001,340.0
probe_defer40,3,0,yolov8_nano_64,1,soft,140.0,140.546074,207.51691000000008,440.0
probe_defer40,3,0,yolov8_nano_64,2,soft,240.0,240.546074,307.51690999999977,540.0
probe_defer40,3,0,yolov8_nano_64,3,soft,340.0,340.5460739999999,407.51690999999977,640.0
probe_defer40,3,0,yolov8_nano_64,4,soft,440.0,440.5460739999999,507.51690999999977,740.0
probe_defer40,3,0,yolov8_nano_64,5,soft,540.0,540.4818519999994,602.4083269999991,840.0
probe_defer40,4,0,dronet,0,hard,0.0,0.546074,17.174682999999995,50.0
probe_defer40,4,0,dronet,1,hard,50.0,180.546074,197.686291,100.0
probe_defer40,4,0,dronet,10,hard,500.0,859.3388299999987,875.9674389999984,550.0
probe_defer40,4,0,dronet,11,hard,550.0,875.8213009999985,892.4499099999982,600.0
probe_defer40,4,0,dronet,12,hard,600.0,892.3037719999983,908.932380999998,650.0
probe_defer40,4,0,dronet,13,hard,650.0,908.7862429999981,925.4148519999978,700.0
probe_defer40,4,0,dronet,14,hard,700.0,925.2687139999979,941.8973229999976,750.0
probe_defer40,4,0,dronet,2,hard,100.0,330.5460739999999,347.6862909999999,150.0
probe_defer40,4,0,dronet,3,hard,150.0,480.5460739999999,497.6862909999999,200.0
probe_defer40,4,0,dronet,4,hard,200.0,630.5460739999999,647.6862909999996,250.0
probe_defer40,4,0,dronet,5,hard,250.0,776.9264749999996,793.5550839999994,300.0
probe_defer40,4,0,dronet,6,hard,300.0,793.4089459999994,810.0375549999992,350.0
probe_defer40,4,0,dronet,7,hard,350.0,809.8914169999993,826.520025999999,400.0
probe_defer40,4,0,dronet,8,hard,400.0,826.373887999999,843.0024969999988,450.0
probe_defer40,4,0,dronet,9,hard,450.0,842.8563589999989,859.4849679999986,500.0
probe_defer40,4,0,mlp_control,0,hard,0.0,0.0,0.546074,10.0
probe_defer40,4,0,mlp_control,1,hard,10.0,10.0,10.546074000000003,20.0
probe_defer40,4,0,mlp_control,10,hard,100.0,100.0,100.54607400000002,110.0
probe_defer40,4,0,mlp_control,11,hard,110.0,110.0,110.54607400000002,120.0
probe_defer40,4,0,mlp_control,12,hard,120.0,120.0,120.54607400000002,130.0
probe_defer40,4,0,mlp_control,13,hard,130.0,130.0,130.546074,140.0
probe_defer40,4,0,mlp_control,14,hard,140.0,140.0,140.546074,150.0
probe_defer40,4,0,mlp_control,15,hard,150.0,150.0,150.60963900000002,160.0
probe_defer40,4,0,mlp_control,16,hard,160.0,160.0,160.546074,170.0
probe_defer40,4,0,mlp_control,17,hard,170.0,170.0,170.58585100000002,180.0
probe_defer40,4,0,mlp_control,18,hard,180.0,180.0,180.546074,190.0
probe_defer40,4,0,mlp_control,19,hard,190.0,190.0,190.546074,200.0
probe_defer40,4,0,mlp_control,2,hard,20.0,20.0,20.546073999999994,30.0
probe_defer40,4,0,mlp_control,20,hard,200.0,200.0,200.546074,210.0
probe_defer40,4,0,mlp_control,21,hard,210.0,210.0,210.546074,220.0
probe_defer40,4,0,mlp_control,22,hard,220.0,220.0,220.546074,230.0
probe_defer40,4,0,mlp_control,23,hard,230.0,230.0,230.75511300000005,240.0
probe_defer40,4,0,mlp_control,24,hard,240.0,240.0,240.546074,250.0
probe_defer40,4,0,mlp_control,25,hard,250.0,250.0,250.61066300000005,260.0
probe_defer40,4,0,mlp_control,26,hard,260.0,260.0,260.5460739999999,270.0
probe_defer40,4,0,mlp_control,27,hard,270.0,270.0,270.5460739999999,280.0
probe_defer40,4,0,mlp_control,28,hard,280.0,280.0,280.5460739999999,290.0
probe_defer40,4,0,mlp_control,29,hard,290.0,290.0,290.5460739999999,300.0
probe_defer40,4,0,mlp_control,3,hard,30.0,30.0,30.546073999999994,40.0
probe_defer40,4,0,mlp_control,30,hard,300.0,300.0,300.6096389999999,310.0
probe_defer40,4,0,mlp_control,31,hard,310.0,310.0,310.5460739999999,320.0
probe_defer40,4,0,mlp_control,32,hard,320.0,320.0,320.5858509999999,330.0
probe_defer40,4,0,mlp_control,33,hard,330.0,330.0,330.5460739999999,340.0
probe_defer40,4,0,mlp_control,34,hard,340.0,340.0,340.5460739999999,350.0
probe_defer40,4,0,mlp_control,35,hard,350.0,350.0,350.5460739999999,360.0
probe_defer40,4,0,mlp_control,36,hard,360.0,360.0,360.5460739999999,370.0
probe_defer40,4,0,mlp_control,37,hard,370.0,370.0,370.5460739999999,380.0
probe_defer40,4,0,mlp_control,38,hard,380.0,380.0,380.7551129999998,390.0
probe_defer40,4,0,mlp_control,39,hard,390.0,390.0,390.5460739999999,400.0
probe_defer40,4,0,mlp_control,4,hard,40.0,40.0,40.546074,50.0
probe_defer40,4,0,mlp_control,40,hard,400.0,400.0,400.61066299999976,410.0
probe_defer40,4,0,mlp_control,41,hard,410.0,410.0,410.5460739999999,420.0
probe_defer40,4,0,mlp_control,42,hard,420.0,420.0,420.5460739999999,430.0
probe_defer40,4,0,mlp_control,43,hard,430.0,430.0,430.5460739999999,440.0
probe_defer40,4,0,mlp_control,44,hard,440.0,440.0,440.5460739999999,450.0
probe_defer40,4,0,mlp_control,45,hard,450.0,450.0,450.6096389999999,460.0
probe_defer40,4,0,mlp_control,46,hard,460.0,460.0,460.5460739999999,470.0
probe_defer40,4,0,mlp_control,47,hard,470.0,470.0,470.5858509999999,480.0
probe_defer40,4,0,mlp_control,48,hard,480.0,480.0,480.5460739999999,490.0
probe_defer40,4,0,mlp_control,49,hard,490.0,490.0,490.5460739999999,500.0
probe_defer40,4,0,mlp_control,5,hard,50.0,50.0,50.546074,60.0
probe_defer40,4,0,mlp_control,50,hard,500.0,500.0,500.5460739999999,510.0
probe_defer40,4,0,mlp_control,51,hard,510.0,510.0,510.5460739999999,520.0
probe_defer40,4,0,mlp_control,52,hard,520.0,520.0,520.5460739999999,530.0
probe_defer40,4,0,mlp_control,53,hard,530.0,530.0,530.7551129999998,540.0
probe_defer40,4,0,mlp_control,54,hard,540.0,540.0,540.5460739999999,550.0
probe_defer40,4,0,mlp_control,55,hard,550.0,550.0,550.6106629999998,560.0
probe_defer40,4,0,mlp_control,56,hard,560.0,560.0,560.5460739999999,570.0
