strategy,trajectory,epoch,offered_burst,candidate_id,output_valid_rate,valid_count,total_consumer_invocations,freshness_success_rate,deadline_success_rate,max_input_age,soft_completed,soft_offered,makespan_ms,switched,selector_reason
adaptive,oscillate,2,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,escalated
adaptive,oscillate,3,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,held_min_residency
adaptive,oscillate,4,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_at_max_protection
adaptive,oscillate,5,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,True,deescalated
adaptive,oscillate,6,0,cand_c2_defer12_admit2,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,held_min_residency
adaptive,oscillate,7,4,cand_c2_defer12_admit2,0.8666666666666667,26,30,0.8666666666666667,1.0,90.54607400000002,2,4,290.5460739999999,False,held_hysteresis
adaptive,oscillate,8,0,cand_c2_defer12_admit1,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,escalated
adaptive,oscillate,9,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,False,held_min_residency
oracle_contention_aware,oscillate,0,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,False,oracle_full_knowledge
oracle_contention_aware,oscillate,1,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,2,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,3,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,4,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,5,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,6,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,7,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,8,0,cand_c1_defer12,0.9333333333333333,28,30,0.9333333333333333,1.0,60.54607400000002,0,0,290.5460739999999,True,oracle_full_knowledge
oracle_contention_aware,oscillate,9,4,cand_c2_defer12_admit1,0.9,27,30,0.9,1.0,90.54607400000002,1,4,290.5460739999999,True,oracle_full_knowledge
static_cand_c1_defer12,sustained,0,4,cand_c1_defer12,0.16129032258064516,10,62,0.16129032258064516,1.0,410.54607399999986,3,4,805.932380999998,False,
